epoch:0, train_loss:1.5720508021665802, val_loss:1.0771227974281283, accuracy:0.6941067576408386
epoch:1, train_loss:0.8063509515836729, val_loss:0.9918260661597974, accuracy:0.7272647023200989
epoch:2, train_loss:0.4788087973833507, val_loss:1.0389313462178476, accuracy:0.7300058007240295
epoch:3, train_loss:0.2868156610598378, val_loss:1.147131117200413, accuracy:0.7243468165397644
epoch:4, train_loss:0.18486206555369158, val_loss:1.219357450557227, accuracy:0.7355321049690247
epoch:5, train_loss:0.13609312930283077, val_loss:1.2955779651814843, accuracy:0.7333657741546631
epoch:6, train_loss:0.10465978289795841, val_loss:1.3680959483648123, accuracy:0.731818437576294
epoch:7, train_loss:0.08717596887524987, val_loss:1.4179240324793982, accuracy:0.729828953742981
epoch:8, train_loss:0.0722543051904761, val_loss:1.4975286523641589, accuracy:0.7352668642997742
epoch:9, train_loss:0.06252128047660548, val_loss:1.5043892907202665, accuracy:0.7375215888023376
epoch:10, train_loss:0.05582288344289962, val_loss:1.541685133561218, accuracy:0.7335426211357117
epoch:11, train_loss:0.050182276686813666, val_loss:1.5999801067011024, accuracy:0.7347363233566284
epoch:12, train_loss:0.04950032894737384, val_loss:1.6124905311993865, accuracy:0.7341173887252808
epoch:13, train_loss:0.04345366463980783, val_loss:1.6559340562223546, accuracy:0.730934202671051
epoch:14, train_loss:0.04140137753426469, val_loss:1.659843034420526, accuracy:0.73690265417099
epoch:15, train_loss:0.038557906321444756, val_loss:1.700125615869924, accuracy:0.7341173887252808
epoch:16, train_loss:0.03941879434197735, val_loss:1.7457116199644147, accuracy:0.7363278865814209
epoch:17, train_loss:0.03312097869093897, val_loss:1.7362777001028182, accuracy:0.7392457723617554
epoch:18, train_loss:0.031263612669682896, val_loss:1.735147616355726, accuracy:0.7344710230827332
epoch:19, train_loss:0.028941475859595917, val_loss:1.8096255818131621, accuracy:0.7337194681167603
epoch:20, train_loss:0.032353470052063224, val_loss:1.8138620833190529, accuracy:0.7317742109298706
epoch:21, train_loss:0.02987154172709947, val_loss:1.791743855875992, accuracy:0.7361510396003723
epoch:22, train_loss:0.028248095852332164, val_loss:1.8505233100060863, accuracy:0.7330563068389893
epoch:23, train_loss:0.02595242365740829, val_loss:1.8308671787381172, accuracy:0.7366815805435181
epoch:24, train_loss:0.026284337964872638, val_loss:1.82989011137961, accuracy:0.7333657741546631
epoch:25, train_loss:0.022953589372431814, val_loss:1.9016556983874238, accuracy:0.7355321049690247
epoch:26, train_loss:0.02390360831897, val_loss:1.8511552240335958, accuracy:0.7403068542480469
epoch:27, train_loss:0.023194227970217838, val_loss:1.8549778157953156, accuracy:0.7339405417442322
epoch:28, train_loss:0.02181681372553064, val_loss:1.9322554346231962, accuracy:0.737433135509491
epoch:29, train_loss:0.02264966723982431, val_loss:1.9101855079557806, accuracy:0.7388479113578796
epoch:30, train_loss:0.018652558986893077, val_loss:1.8992696157017726, accuracy:0.7361952662467957
epoch:31, train_loss:0.02039140338170613, val_loss:1.9389075389845873, accuracy:0.7384058237075806
epoch:32, train_loss:0.01813899158718001, val_loss:1.962144452298674, accuracy:0.737565815448761
epoch:33, train_loss:0.02082483412722474, val_loss:1.9139548234926087, accuracy:0.734913170337677
epoch:34, train_loss:0.01650225490116003, val_loss:1.9622642829107935, accuracy:0.7390689253807068
epoch:35, train_loss:0.017415211356106377, val_loss:1.9560204536523644, accuracy:0.7379194498062134
epoch:36, train_loss:0.018448659692321664, val_loss:1.9916769799155933, accuracy:0.7391131520271301
epoch:37, train_loss:0.0163066779931106, val_loss:1.9840528241014885, accuracy:0.7389805316925049
epoch:38, train_loss:0.015291505860876258, val_loss:1.981508539496925, accuracy:0.737433135509491
epoch:39, train_loss:0.015330504944566536, val_loss:2.0497017870360756, accuracy:0.7375215888023376
epoch:40, train_loss:0.015745200503115227, val_loss:2.039392496436792, accuracy:0.739555299282074
epoch:41, train_loss:0.01361938581896203, val_loss:2.04467371974504, accuracy:0.7395110726356506
epoch:42, train_loss:0.014548899185279905, val_loss:2.0768158851030694, accuracy:0.7355321049690247
epoch:43, train_loss:0.01528332271333598, val_loss:2.043826918327151, accuracy:0.7407047748565674
epoch:44, train_loss:0.014549387555749452, val_loss:2.0643329168478872, accuracy:0.7336752414703369
epoch:45, train_loss:0.012782297000009896, val_loss:2.066595171474163, accuracy:0.7390247583389282
epoch:46, train_loss:0.01583159058337508, val_loss:2.0179727912539303, accuracy:0.7378752827644348
epoch:47, train_loss:0.014537921734489642, val_loss:2.067497371088666, accuracy:0.7391573786735535
epoch:48, train_loss:0.013048900750942291, val_loss:2.0745050841797528, accuracy:0.7392016053199768
epoch:49, train_loss:0.011747698984968797, val_loss:2.114943904177809, accuracy:0.7363721132278442
epoch:50, train_loss:0.011166662288706768, val_loss:2.104848605992939, accuracy:0.7373889684677124
epoch:51, train_loss:0.010282073689417793, val_loss:2.11206990349748, accuracy:0.7392899990081787
epoch:52, train_loss:0.009640134440998207, val_loss:2.1679551670962716, accuracy:0.7387152910232544
epoch:53, train_loss:0.010596343160701276, val_loss:2.139058400316973, accuracy:0.7408815622329712
epoch:54, train_loss:0.0099934962709485, val_loss:2.122290160101239, accuracy:0.7421637177467346
epoch:55, train_loss:0.01040480572264448, val_loss:2.165800582780865, accuracy:0.7396436929702759
epoch:56, train_loss:0.009136004116487987, val_loss:2.1311678613260745, accuracy:0.743180513381958
epoch:57, train_loss:0.010321096244870657, val_loss:2.1561969096286293, accuracy:0.7428268790245056
epoch:58, train_loss:0.010167469824993874, val_loss:2.139157297081792, accuracy:0.7435342073440552
epoch:59, train_loss:0.0070263992352120625, val_loss:2.185169483891977, accuracy:0.7385826110839844
epoch:60, train_loss:0.008627576745320702, val_loss:2.15986715069586, accuracy:0.7389805316925049
epoch:61, train_loss:0.009817678476053084, val_loss:2.1847085349309183, accuracy:0.7371678948402405
epoch:62, train_loss:0.009181022543280631, val_loss:2.189243921738703, accuracy:0.7422963380813599
epoch:63, train_loss:0.009056758515283146, val_loss:2.1618249683497313, accuracy:0.7436668872833252
epoch:64, train_loss:0.008720663169586917, val_loss:2.188826370715589, accuracy:0.7382731437683105
epoch:65, train_loss:0.007847178556033129, val_loss:2.1809557248881717, accuracy:0.7391573786735535
epoch:66, train_loss:0.00818555850322848, val_loss:2.195391284525816, accuracy:0.7403510808944702
epoch:67, train_loss:0.008516318856794549, val_loss:2.1847867007977215, accuracy:0.7444184422492981
epoch:68, train_loss:0.007667396537774961, val_loss:2.1673952821626354, accuracy:0.7418984174728394
epoch:69, train_loss:0.008094257709801099, val_loss:2.183230037609961, accuracy:0.7421194911003113
epoch:70, train_loss:0.007211464945352263, val_loss:2.1766764739952467, accuracy:0.7454794645309448
epoch:71, train_loss:0.0070210112966623914, val_loss:2.2348234329736214, accuracy:0.7406163215637207
epoch:72, train_loss:0.006893144335334594, val_loss:2.214428187723376, accuracy:0.7453468441963196
epoch:73, train_loss:0.007264529930292943, val_loss:2.269020437814896, accuracy:0.7421637177467346
epoch:74, train_loss:0.008175798734897134, val_loss:2.215011488936072, accuracy:0.7405279278755188
epoch:75, train_loss:0.006766848988078394, val_loss:2.1823223839807713, accuracy:0.7414563298225403
epoch:76, train_loss:0.005578233018866043, val_loss:2.210942948071083, accuracy:0.742517352104187
epoch:77, train_loss:0.00530680976989196, val_loss:2.259365886323354, accuracy:0.7443742156028748
epoch:78, train_loss:0.0054152280019063755, val_loss:2.2380049315503836, accuracy:0.7441973686218262
epoch:79, train_loss:0.005674009015688461, val_loss:2.289293004502839, accuracy:0.739334225654602
epoch:80, train_loss:0.00593913318259783, val_loss:2.2401412793736815, accuracy:0.7441532015800476
epoch:81, train_loss:0.004675322028591028, val_loss:2.2535260409496125, accuracy:0.74463951587677
epoch:82, train_loss:0.006132570903328603, val_loss:2.2281838752424195, accuracy:0.7464079260826111
epoch:83, train_loss:0.004730301264460308, val_loss:2.2372747953280365, accuracy:0.7442415952682495
epoch:84, train_loss:0.004912258605271429, val_loss:2.231738330503923, accuracy:0.7453468441963196
epoch:85, train_loss:0.0047108477305562, val_loss:2.290103646661807, accuracy:0.7461868524551392
epoch:86, train_loss:0.0044018121167119775, val_loss:2.2508494630139824, accuracy:0.7460984587669373
epoch:87, train_loss:0.0045571097718321, val_loss:2.2562944350561294, accuracy:0.7430037260055542
epoch:88, train_loss:0.003011515056959334, val_loss:2.3082888685746443, accuracy:0.7462310791015625
epoch:89, train_loss:0.0030225908383028828, val_loss:2.3215255824456458, accuracy:0.7454794645309448
epoch:90, train_loss:0.0032477365545202945, val_loss:2.348896680428756, accuracy:0.7436226606369019
epoch:91, train_loss:0.004608160984586075, val_loss:2.3456142291405584, accuracy:0.7465847730636597
epoch:92, train_loss:0.0037214693912230668, val_loss:2.337907053667214, accuracy:0.7443299889564514
epoch:93, train_loss:0.003575837928677703, val_loss:2.3459847487688403, accuracy:0.7458773851394653
epoch:94, train_loss:0.0034188593227818176, val_loss:2.374030066640913, accuracy:0.7468057870864868
epoch:95, train_loss:0.0029556577324094664, val_loss:2.4180259143530565, accuracy:0.7460100054740906
epoch:96, train_loss:0.004081110332632912, val_loss:2.3484633513943645, accuracy:0.7488837242126465
epoch:97, train_loss:0.0025032391456132307, val_loss:2.3552704516698144, accuracy:0.7479110956192017
epoch:98, train_loss:0.002850741719303687, val_loss:2.3613309939477536, accuracy:0.749148964881897
epoch:99, train_loss:0.003101120530724761, val_loss:2.3510489651131086, accuracy:0.7476016283035278
epoch:100, train_loss:0.0024220379163888625, val_loss:2.357023041479321, accuracy:0.7488837242126465
epoch:101, train_loss:0.002431840707019525, val_loss:2.368527703608954, accuracy:0.7474689483642578
epoch:102, train_loss:0.002959253506530592, val_loss:2.3607752727399958, accuracy:0.7473805546760559
epoch:103, train_loss:0.002146133343015987, val_loss:2.4310192512572235, accuracy:0.7486626505851746
epoch:104, train_loss:0.003695496390531334, val_loss:2.383350811614174, accuracy:0.7472921013832092
epoch:105, train_loss:0.002006811930848697, val_loss:2.3705661104204294, accuracy:0.7496795058250427
epoch:106, train_loss:0.002091758414277107, val_loss:2.388819064581411, accuracy:0.7480879426002502
epoch:107, train_loss:0.002031852299621669, val_loss:2.395450080322073, accuracy:0.7488394975662231
epoch:108, train_loss:0.002117769102147562, val_loss:2.4468032944489067, accuracy:0.7473363280296326
epoch:109, train_loss:0.002571051388927899, val_loss:2.4097480827249598, accuracy:0.7471153140068054
epoch:110, train_loss:0.002642442819609132, val_loss:2.3834890685712096, accuracy:0.7513595223426819
epoch:111, train_loss:0.0020608277804656026, val_loss:2.357883465888645, accuracy:0.7513595223426819
epoch:112, train_loss:0.0016321736093339008, val_loss:2.4118841457400664, accuracy:0.7488394975662231
epoch:113, train_loss:0.001103290559705855, val_loss:2.4144093756797123, accuracy:0.7533931732177734
epoch:114, train_loss:0.001661535110903251, val_loss:2.406087038540604, accuracy:0.7492815852165222
epoch:115, train_loss:0.0012289288255277878, val_loss:2.4132284643405146, accuracy:0.75224369764328
epoch:116, train_loss:0.0024508613938050436, val_loss:2.405432672025122, accuracy:0.749591052532196
epoch:117, train_loss:0.001435887017262206, val_loss:2.4172498447217228, accuracy:0.7499447464942932
epoch:118, train_loss:0.0010798916304875883, val_loss:2.4210808156993466, accuracy:0.7504310607910156
epoch:119, train_loss:0.00157359430816421, val_loss:2.419690790785084, accuracy:0.750254213809967
epoch:120, train_loss:0.0014592178241434955, val_loss:2.426872568133865, accuracy:0.7489279508590698
epoch:121, train_loss:0.0012637160516753908, val_loss:2.4346054091817755, accuracy:0.7500774264335632
epoch:122, train_loss:0.0009423592296849231, val_loss:2.4494704738196087, accuracy:0.7508732080459595
epoch:123, train_loss:0.0007582077860582012, val_loss:2.457350167607865, accuracy:0.7514036893844604
epoch:124, train_loss:0.000826873280299426, val_loss:2.4633796809417694, accuracy:0.7513595223426819
epoch:125, train_loss:0.0013176027219706052, val_loss:2.480770622276012, accuracy:0.7512710690498352
epoch:126, train_loss:0.000874637478445861, val_loss:2.4651024448336267, accuracy:0.7510942220687866
epoch:127, train_loss:0.0008646229905687357, val_loss:2.4678297483558533, accuracy:0.7528626918792725
epoch:128, train_loss:0.0008275037254757056, val_loss:2.4749854236967663, accuracy:0.7493700385093689
epoch:129, train_loss:0.0012769473484371453, val_loss:2.4917036945888142, accuracy:0.7526858448982239
epoch:130, train_loss:0.0011853215194882946, val_loss:2.4953903000817608, accuracy:0.7507405281066895
epoch:131, train_loss:0.0009422210883330595, val_loss:2.47224310015182, accuracy:0.7525973916053772
epoch:132, train_loss:0.0010581812896878482, val_loss:2.4650805199247436, accuracy:0.7507847547531128
epoch:133, train_loss:0.0006676066099108841, val_loss:2.4615040588307244, accuracy:0.7530837059020996
epoch:134, train_loss:0.001182085377741752, val_loss:2.4626098082544443, accuracy:0.7520226836204529
epoch:135, train_loss:0.0007186464713883711, val_loss:2.4579223850017473, accuracy:0.751801609992981
epoch:136, train_loss:0.0004304603489487942, val_loss:2.473437590363845, accuracy:0.751713216304779
epoch:137, train_loss:0.0007275559834403524, val_loss:2.473288001526869, accuracy:0.7514921426773071
epoch:138, train_loss:0.0008918185605523982, val_loss:2.473723132674394, accuracy:0.7527742385864258
epoch:139, train_loss:0.0007638659017547996, val_loss:2.4684971511111065, accuracy:0.7527300119400024
epoch:140, train_loss:0.0006076803680643035, val_loss:2.454388183532375, accuracy:0.7531721591949463
epoch:141, train_loss:0.000684225839553807, val_loss:2.45899181158573, accuracy:0.7538353204727173
epoch:142, train_loss:0.00040173695167487885, val_loss:2.4511737021099895, accuracy:0.7533047795295715
epoch:143, train_loss:0.0005240417435995505, val_loss:2.454441774009478, accuracy:0.7541005611419678
epoch:144, train_loss:0.0004386008953931695, val_loss:2.456530064618402, accuracy:0.7539237141609192
